Stock,Symbol
Talwalkars Heal,Yearly Results of Talwalkars Healthclubs (in Rs. Cr.)
Tamarai Mills,Yearly Results of Tamarai Mills (in Rs. Cr.)
Tamboli Ind.,Yearly Results of Tamboli Industries (in Rs. Cr.)
Tamil JaiBharat,Yearly Results of Tamilnadu Jai Bharath Mills (in Rs. Cr.)
Tamil Newsprint,Yearly Results of Tamil Nadu Newsprint and Papers (in Rs. Cr.)
Tamil SteelTube,Yearly Results of Tamilnadu Steel Tubes (in Rs. Cr.)
Tamil Telecom,Yearly Results of Tamilnadu Telecommunications (in Rs. Cr.)
Tamilnad Hospit,Yearly Results of Tamilnad Hospital (in Rs. Cr.)
Tamilnadu Petro,Yearly Results of Tamilnadu Petroproducts (in Rs. Cr.)
TandI Global,Yearly Results of T and I Global (in Rs. Cr.)
Taneja Aerospac,Yearly Results of Taneja Aerospace and Aviation (in Rs. Cr.)
Tanfac Ind,Yearly Results of Tanfac Industries (in Rs. Cr.)
Tanla Platforms,Yearly Results of Tanla Platforms (in Rs. Cr.)
Tantia Const,Yearly Results of Tantia Constructions (in Rs. Cr.)
Tanvi Foods,Yearly Results of Tanvi Foods (in Rs. Cr.)
Taparia Tools,Yearly Results of Taparia Tools (in Rs. Cr.)
Tapi Fruit,Yearly Results of Tapi Fruit Processing (in Rs. Cr.)
Tara Jewels,Yearly Results of Tara Jewels (in Rs. Cr.)
TARACHAND,Yearly Results of Tara Chand InfraLogistic Solutions (in Rs. Cr.)
Tarai Foods,Yearly Results of Tarai Foods (in Rs. Cr.)
Tarang Projects,Yearly Results of Tarang Projects & Consultant (in Rs. Cr.)
Tarapur Trans,Yearly Results of Tarapur Transformers (in Rs. Cr.)
TARC,Yearly Results of TARC (in Rs. Cr.)
Tarini Int,Yearly Results of Tarini International (in Rs. Cr.)
Tarmat,Yearly Results of Tarmat (in Rs. Cr.)
Tarsons Product,Yearly Results of Tarsons Products (in Rs. Cr.)
Tashi India Ltd,Yearly Results of Tashi India (in Rs. Cr.)
Tasty Bite,Yearly Results of Tasty Bite Eatables (in Rs. Cr.)
Tasty Dairy Spe,Yearly Results of Tasty Dairy Specialities Limited (in Rs. Cr.)
Tata Chemicals,Yearly Results of Tata Chemicals (in Rs. Cr.)
Tata Coffee,Yearly Results of Tata Coffee (in Rs. Cr.)
Tata Comm,Yearly Results of Tata Communications (in Rs. Cr.)
TATA Cons. Prod,Yearly Results of TATA Consumer Products (in Rs. Cr.)
Tata Elxsi,Yearly Results of Tata Elxsi (in Rs. Cr.)
Tata Inv Corp,Yearly Results of Tata Investment Corporation (in Rs. Cr.)
Tata Metaliks,Yearly Results of Tata Metaliks (in Rs. Cr.)
Tata Motors,Yearly Results of Tata Motors (in Rs. Cr.)
Tata Motors DVR,Yearly Results of TATA MOTORS - DVR (in Rs. Cr.)
Tata Power,Yearly Results of The Tata Power Company (in Rs. Cr.)
Tata Steel,Yearly Results of Tata Steel (in Rs. Cr.)
Tata Steel BSL ,Mar '21
Tata Steel Long,Yearly Results of Tata Steel Long Products (in Rs. Cr.)
Tata Tech,Yearly Results of Tata Technologies (in Rs. Cr.)
TataTeleservice,Yearly Results of Tata Teleservices (Maharashtra) (in Rs. Cr.)
Tatia Global,Yearly Results of Tatia Global Vennture (in Rs. Cr.)
Tatia Skylines,Yearly Results of Tatia Skylines and Health Farms (in Rs. Cr.)
Tatva Chintan,Yearly Results of Tatva Chintan Pharma Chem (in Rs. Cr.)
Tavernier,Yearly Results of Tavernier Resources (in Rs. Cr.)
Taylormade Rene,Yearly Results of Taylormade Renewables (in Rs. Cr.)
Tayo Rolls,Yearly Results of Tayo Rolls (in Rs. Cr.)
TCC CONCEPT,Yearly Results of TCC CONCEPT (in Rs. Cr.)
TCFC Finance,Yearly Results of TCFC Finance (in Rs. Cr.)
TCI Developers,Yearly Results of TCI Developers (in Rs. Cr.)
TCI Express,Yearly Results of TCI Express (in Rs. Cr.)
TCI Finance,Yearly Results of TCI Finance (in Rs. Cr.)
TCI Industries,Yearly Results of TCI Industries (in Rs. Cr.)
TCM,Yearly Results of TCM (in Rs. Cr.)
TCNS Clothing C,Yearly Results of TCNS Clothing Co (in Rs. Cr.)
TCP,Yearly Results of TCP (in Rs. Cr.)
TCPL Packaging,Yearly Results of TCPL Packaging (in Rs. Cr.)
TCS,Yearly Results of Tata Consultancy Services (in Rs. Cr.)
TD Power System,Yearly Results of TD Power Systems (in Rs. Cr.)
Tea Time Ltd,Yearly Results of Tea Time (in Rs. Cr.)
TeamLease Ser.,Yearly Results of TeamLease Services (in Rs. Cr.)
Teamo Productio,Yearly Results of Teamo Productions HQ (in Rs. Cr.)
Tech Mahindra,Yearly Results of Tech Mahindra (in Rs. Cr.)
Techindia Nirm,Yearly Results of Techindia Nirman (in Rs. Cr.)
Techknowgreen,Yearly Results of Techknowgreen Solutions (in Rs. Cr.)
Techno Electric,Yearly Results of Techno Electric & Engineering Company Ltd (in Rs. Cr.)
Techno Forge,Yearly Results of Techno Forge (in Rs. Cr.)
Technocraft Ind,Yearly Results of Technocraft Industries (India) (in Rs. Cr.)
Technofab Engg,Yearly Results of Technofab Engineering (in Rs. Cr.)
Technojet Consl,Yearly Results of Technojet Consultants (in Rs. Cr.)
Technopack,Yearly Results of Technopack Polymers (in Rs. Cr.)
TechNVision,Yearly Results of TechNVision Ventures (in Rs. Cr.)
Techtran Polyle,Yearly Results of Techtran Polylenses (in Rs. Cr.)
Tecil Chemicals,Yearly Results of Tecil Chemicals and Hyd. (in Rs. Cr.)
Tecpro Systems,Yearly Results of Tecpro Systems (in Rs. Cr.)
Teesta Agro Ind,Yearly Results of Teesta Agro Industries. (in Rs. Cr.)
Tega Industries,Yearly Results of Tega Industries (in Rs. Cr.)
Tejas Networks,Yearly Results of Tejas Networks (in Rs. Cr.)
TEJASSVI AAHARA,Yearly Results of TEJASSVI AAHARAM (in Rs. Cr.)
Tejnaksh,Yearly Results of Tejnaksh Healthcare (in Rs. Cr.)
Teknomin Aqua,Yearly Results of Teknomin Aqua Exports (India) (in Rs. Cr.)
TeleCanor Glob,Yearly Results of TeleCanor Global (in Rs. Cr.)
Teledata Info,Yearly Results of Teledata Informatics (in Rs. Cr.)
Teledata Marine,Yearly Results of Teledata Marine Solutions (in Rs. Cr.)
Teledata Tech,Yearly Results of Teledata Technology Solutions (in Rs. Cr.)
Telephone Cable,Yearly Results of Telephone Cables (in Rs. Cr.)
Telesys Soft,Yearly Results of Telesys Software (in Rs. Cr.)
TELOGICA,Yearly Results of TELOGICA (in Rs. Cr.)
Tembo Global,Yearly Results of Tembo Global Industries (in Rs. Cr.)
Temptation Food,Yearly Results of Temptation Foods (in Rs. Cr.)
Tentiwala Metal,Yearly Results of Tentiwala Metal Products (in Rs. Cr.)
Tera Software,Yearly Results of Tera Software (in Rs. Cr.)
Terai Tea Co,Yearly Results of Terai Tea Co (in Rs. Cr.)
Terraform,Yearly Results of Terraform Magnum (in Rs. Cr.)
Terraform Real,Yearly Results of Terraform Realstate (in Rs. Cr.)
Terrascope,Yearly Results of Terrascope Ventures limited (in Rs. Cr.)
Terruzzi Fercal,Yearly Results of Terruzzi Fercalx India (in Rs. Cr.)
Terryfab India,Yearly Results of Terryfab (India) (in Rs. Cr.)
Terrygold India,Yearly Results of Terrygold (I) (in Rs. Cr.)
Texel Ind,Yearly Results of Texel Industries (in Rs. Cr.)
Texmaco Infra,Yearly Results of Texmaco Infrastructure & Holdings (in Rs. Cr.)
Texmaco Rail,Yearly Results of Texmaco Rail and Engineering (in Rs. Cr.)
Texmo Pipes,Yearly Results of Texmo Pipes and Products (in Rs. Cr.)
Texplast Inds,Yearly Results of Texplast Industries (in Rs. Cr.)
Texport Textile,Yearly Results of Texport Textiles (in Rs. Cr.)
TGB Banquets,Yearly Results of TGB Banquets and Hotels (in Rs. Cr.)
TGV Sraac,Yearly Results of TGV Sraac (in Rs. Cr.)
Thacker,Yearly Results of Thacker and Company (in Rs. Cr.)
Thakkars Dev,Yearly Results of Thakkars Developers (in Rs. Cr.)
Thakkers Group,Yearly Results of Thakkers Group (in Rs. Cr.)
Thakral Service,Yearly Results of Thakral Services (India) (in Rs. Cr.)
Thambbi Modern,Yearly Results of Thambbi Modern Spinning Mills (in Rs. Cr.)
Thana Elect,Yearly Results of Thana Electric (in Rs. Cr.)
Thangamayil,Yearly Results of Thangamayil Jewellery (in Rs. Cr.)
Thapar Exports,Yearly Results of Thapar Exports (in Rs. Cr.)
Thapar Ispat,Yearly Results of Thapar Ispat (in Rs. Cr.)
The Byke Hosp,Yearly Results of The Byke Hospitality (in Rs. Cr.)
The Grob Tea,Yearly Results of The Grob Tea Company (in Rs. Cr.)
The Hi-Tech Gea,Yearly Results of The Hi-Tech Gears (in Rs. Cr.)
The Indian Wood,Yearly Results of The Indian Wood Products Co. L (in Rs. Cr.)
The Investment ,Yearly Results of The Investment Trust of India (in Rs. Cr.)
The Western Ind,Yearly Results of The Western India Plywoods (in Rs. Cr.)
The Yamuna Synd,Yearly Results of The Yamuna Syndicate (in Rs. Cr.)
Thejo Engg,Yearly Results of Thejo Engineering (in Rs. Cr.)
Themis Medicare,Yearly Results of Themis Medicare (in Rs. Cr.)
Thermax,Yearly Results of Thermax (in Rs. Cr.)
THINKINK PICTUR,Yearly Results of THINKINK PICTUREZ (in Rs. Cr.)
Thirani Project,Yearly Results of Thirani Projects (in Rs. Cr.)
Thirdwave Finan,Yearly Results of Thirdwave Financial Intermediaries (in Rs. Cr.)
Thiru Arooran,Yearly Results of Thiru Arooran Sugars Industries (in Rs. Cr.)
Thirumalai Chem,Yearly Results of Thirumalai Chemicals (in Rs. Cr.)
Thomas Cook,Yearly Results of Thomas Cook (India) (in Rs. Cr.)
Thomas Scott,Yearly Results of Thomas Scott India (in Rs. Cr.)
Thyrocare Techn,Yearly Results of Thyrocare Technologies (in Rs. Cr.)
Tiaan Consumer,Yearly Results of Tiaan Consumer (in Rs. Cr.)
Tide Water Oil,Yearly Results of Tide Water Oil (in Rs. Cr.)
Tierra Agrotech,Yearly Results of Tierra Agrotech (in Rs. Cr.)
Tiger Logistics,Yearly Results of Tiger Logistics India (in Rs. Cr.)
TIHIL,Yearly Results of Trans India House Impex (in Rs. Cr.)
Tijaria Polypip,Yearly Results of Tijaria Polypipes (in Rs. Cr.)
TIL,Yearly Results of TIL (in Rs. Cr.)
Tilak Ventures,Yearly Results of Tilak Ventures (in Rs. Cr.)
Tilaknagar Ind,Yearly Results of Tilaknagar Industries (in Rs. Cr.)
Timbor Home,Yearly Results of Timbor Home (in Rs. Cr.)
Time Techno,Yearly Results of Time Technoplast (in Rs. Cr.)
Times Green,Yearly Results of Times Green Energy India (in Rs. Cr.)
Times Guaranty,Yearly Results of Times Guaranty (in Rs. Cr.)
Timescan Logist,Yearly Results of Timescan Logistics India (in Rs. Cr.)
Timex Group Ind,Yearly Results of Timex Group India (in Rs. Cr.)
Timken,Yearly Results of Timken India (in Rs. Cr.)
Tine Agro,Yearly Results of Tine Agro (in Rs. Cr.)
Tinna Finex,Yearly Results of Tinna Finex (in Rs. Cr.)
Tinna Rubber an,Yearly Results of Tinna Rubber and Infrastructure Ltd. (in Rs. Cr.)
Tinna Trade Lim,Yearly Results of Tinna Trade Limited (in Rs. Cr.)
Tinplate,Yearly Results of The Tinplate Co. of India (in Rs. Cr.)
Tips Industries,Yearly Results of Tips Industries (in Rs. Cr.)
TIPSFILMS,Yearly Results of Tips Films (in Rs. Cr.)
Tirth Plastic,Yearly Results of Tirth Plastic (in Rs. Cr.)
Tirupati Fibres,Yearly Results of Tirupati Fibres & Industries (in Rs. Cr.)
Tirupati Fin,Yearly Results of Tirupati Finlease (in Rs. Cr.)
Tirupati Foam,Yearly Results of Tirupati Foam (in Rs. Cr.)
Tirupati Forge,Yearly Results of Tirupati Forge (in Rs. Cr.)
Tirupati Ind,Yearly Results of Tirupati Industries (in Rs. Cr.)
Tirupati Inks,Yearly Results of Tirupati Inks (in Rs. Cr.)
Tirupati Sarjan,Yearly Results of Tirupati Sarjan (in Rs. Cr.)
Tirupati Starch,Yearly Results of Tirupati Starch and Chemicals (in Rs. Cr.)
Tirupati Tyres,Yearly Results of Tirupati Tyres (in Rs. Cr.)
Titaanium Ten E,Yearly Results of Titaanium Ten Enterprise (in Rs. Cr.)
TITAGARH,Yearly Results of TITAGARH RAIL SYSTEMS (in Rs. Cr.)
Titan Biotech,Yearly Results of Titan Biotech (in Rs. Cr.)
Titan Company,Yearly Results of Titan Company (in Rs. Cr.)
Titan Intech,Yearly Results of Titan Intech (in Rs. Cr.)
Titan Secu,Yearly Results of Titan Securities (in Rs. Cr.)
Titan Trading,Yearly Results of Titan Trading and Agencies (in Rs. Cr.)
Tivoli Const,Yearly Results of Tivoli Const (in Rs. Cr.)
TMB,Yearly Results of Tamilnad Mercantile Bank (in Rs. Cr.)
TMT India,Yearly Results of TMT (India) (in Rs. Cr.)
Todays Writing,Yearly Results of Todays Writing Instruments (in Rs. Cr.)
Toheal Pharm,Yearly Results of Toheal Pharma (in Rs. Cr.)
Tokyo Finance,Yearly Results of Tokyo Finance (in Rs. Cr.)
Tokyo Plast,Yearly Results of Tokyo Plast International (in Rs. Cr.)
Tonira Pharma,Yearly Results of Tonira Pharma (in Rs. Cr.)
Top Telemedia,Yearly Results of Top Telemedia (in Rs. Cr.)
Torrent Cables,Yearly Results of Torrent Cables (in Rs. Cr.)
Torrent Pharma,Yearly Results of Torrent Pharmaceuticals (in Rs. Cr.)
Torrent Power,Yearly Results of Torrent Power (in Rs. Cr.)
Total Exports,Yearly Results of Total Exports (in Rs. Cr.)
Total Transport,Yearly Results of Total Transport Systems (in Rs. Cr.)
Touchwood Enter,Yearly Results of Touchwood Entertainment Ltd. (in Rs. Cr.)
Tourism Finance,Yearly Results of Tourism Finance Corp of India (in Rs. Cr.)
Towels India,Yearly Results of Towels India Exports. (in Rs. Cr.)
TOYAM SPORTS,Yearly Results of TOYAM SPORTS (in Rs. Cr.)
Toyama Electric,Yearly Results of Toyama Electric (in Rs. Cr.)
TPCL,Yearly Results of The Phosphate Company Limited (in Rs. Cr.)
TPI India,Yearly Results of TPI India (in Rs. Cr.)
TPL Plastech,Yearly Results of TPL Plastech (in Rs. Cr.)
Tracxn Tech,Yearly Results of Tracxn Technologies (in Rs. Cr.)
Trade Wings,Yearly Results of Trade Wings (in Rs. Cr.)
Tradewell Hold.,Yearly Results of Tradewell Holdings (in Rs. Cr.)
Trans & Electr,Yearly Results of Transformers & Electricals Kerala (in Rs. Cr.)
Trans Asia Corp,Yearly Results of Trans Asia Corporation (in Rs. Cr.)
Trans Freight,Yearly Results of Trans Freight Containers (in Rs. Cr.)
Trans Plastics,Yearly Results of Trans Plastics (in Rs. Cr.)
Trans Techno,Yearly Results of Trans Techno Foods (in Rs. Cr.)
Transchem,Yearly Results of Transchem (in Rs. Cr.)
Transcon Res,Yearly Results of Transcon Research (in Rs. Cr.)
Transcorp Intl,Yearly Results of Transcorp International (in Rs. Cr.)
Transformers,Yearly Results of Transformers and Rectifiers India (in Rs. Cr.)
Transgene Biote,Yearly Results of Transgene Biotek (in Rs. Cr.)
Transglobe,Yearly Results of Transglobe Foods (in Rs. Cr.)
Transindia Real,Yearly Results of Transindia Real Estate (in Rs. Cr.)
Transoceanic,Yearly Results of Transoceanic Properties (in Rs. Cr.)
Transpek,Yearly Results of Transpek Industry (in Rs. Cr.)
Transport Corp,Yearly Results of Transport Corporation of India (in Rs. Cr.)
Transpower Engg,Yearly Results of Transpower Engineering (in Rs. Cr.)
Transteel,Yearly Results of Transteel Seating Technologies (in Rs. Cr.)
Transvoy,Yearly Results of Transvoy Logistics India (in Rs. Cr.)
Transwarranty,Yearly Results of Transwarranty Finance (in Rs. Cr.)
Transwind Infra,Yearly Results of Transwind Infrastructures (in Rs. Cr.)
Tranway,Yearly Results of Tranway Technologies (in Rs. Cr.)
Tree House,Yearly Results of Tree House Education and Accessories (in Rs. Cr.)
Trejhara,Yearly Results of Trejhara Solutions Limited (in Rs. Cr.)
Trend Electron,Yearly Results of Trend Electronics (in Rs. Cr.)
Trent,Yearly Results of Trent (in Rs. Cr.)
TRF,Yearly Results of TRF (in Rs. Cr.)
Tribhovandas,Yearly Results of Tribhovandas Bhimji Zaveri (in Rs. Cr.)
Tribhuvan House,Yearly Results of Tribhuvan Housing (in Rs. Cr.)
Tricom Fruit,Yearly Results of Tricom Fruit Products (in Rs. Cr.)
Tricom India,Yearly Results of Tricom India (in Rs. Cr.)
Trident,Yearly Results of Trident (in Rs. Cr.)
Trident Lifelin,Yearly Results of Trident Lifeline (in Rs. Cr.)
Trident Texofab,Yearly Results of Trident Texofab (in Rs. Cr.)
Trident Tools,Yearly Results of Trident Tools (in Rs. Cr.)
Tridhya Tech,Yearly Results of Tridhya Tech (in Rs. Cr.)
Trigyn Tech,Yearly Results of Trigyn Technologies (in Rs. Cr.)
TRILIANCE,Yearly Results of TRILIANCE POLYMERS (in Rs. Cr.)
Trilogic Digi,Yearly Results of Trilogic Digital Media (in Rs. Cr.)
Trimline Invt,Yearly Results of Trimline Investments (in Rs. Cr.)
Trimurthi,Yearly Results of Trimurthi (in Rs. Cr.)
Trinethra Infra,Yearly Results of Trinethra Infra Ventures (in Rs. Cr.)
Trinetra Cement,Yearly Results of Trinetra Cement (in Rs. Cr.)
Trinity Bio-Tec,Yearly Results of Trinity Bio-Tech (in Rs. Cr.)
Trinity League,Yearly Results of Trinity League India (in Rs. Cr.)
Trinity Trade,Yearly Results of Trinity Tradelink (in Rs. Cr.)
Trio Mercantile,Yearly Results of Trio Mercantile and Trading (in Rs. Cr.)
Triochem Prods,Yearly Results of Triochem Products (in Rs. Cr.)
Tripex Overseas,Yearly Results of Tripex Overseas (in Rs. Cr.)
Trishakti Ind,Yearly Results of Trishakti Industries (in Rs. Cr.)
Triton Corp,Yearly Results of Triton Corp (in Rs. Cr.)
Triton Valves,Yearly Results of Triton Valves (in Rs. Cr.)
Triumph Intl,Yearly Results of Triumph Intl Fin (in Rs. Cr.)
Triveni Engg,Yearly Results of Triveni Engineering and Industries (in Rs. Cr.)
Triveni Enterpr,Yearly Results of Triveni Enterprises (in Rs. Cr.)
Triveni Glass,Yearly Results of Triveni Glass (in Rs. Cr.)
Triveni Turbine,Yearly Results of Triveni Turbine (in Rs. Cr.)
Trombo Ext,Yearly Results of Trombo Extractions (in Rs. Cr.)
TruCap Finance,Yearly Results of TruCap Finance (in Rs. Cr.)
TSL Industries,Yearly Results of TSL Industries (in Rs. Cr.)
TT,Yearly Results of TT (in Rs. Cr.)
TTI Enterprise,Yearly Results of TTI Enterprise (in Rs. Cr.)
TTK Healthcare,Yearly Results of TTK Healthcare (in Rs. Cr.)
TTK Prestige,Yearly Results of TTK Prestige (in Rs. Cr.)
TTL Enterprises,Yearly Results of TTL Enterprises (in Rs. Cr.)
Tube Investment,Yearly Results of Tube Investments of India Ltd (in Rs. Cr.)
Tulip Star Hotl,Yearly Results of Tulip Star Hotel (in Rs. Cr.)
Tulip Telecom,Yearly Results of Tulip Telecom (in Rs. Cr.)
Tulive Develop,Yearly Results of Tulive Developers (in Rs. Cr.)
Tulsi Extrusion,Yearly Results of Tulsi Extrusions (in Rs. Cr.)
Tulsyan NEC,Yearly Results of Tulsyan NEC (in Rs. Cr.)
Tuni Textile,Yearly Results of Tuni Textile Mills (in Rs. Cr.)
Turbotech Engg,Yearly Results of Turbotech Engineering (in Rs. Cr.)
Tuticorin Alkal,Yearly Results of Tuticorin Alkali Chemicals and Fertilizers (in Rs. Cr.)
Tutis Tech,Yearly Results of Tutis Technologies (in Rs. Cr.)
TV TodayNetwork,Yearly Results of TV Today Network (in Rs. Cr.)
TV Vision,Yearly Results of TV Vision (in Rs. Cr.)
TV18 Broadcast,Yearly Results of TV18 Broadcast (in Rs. Cr.)
TVS Electronics,Yearly Results of TVS Electronics (in Rs. Cr.)
TVS Holdings,Yearly Results of TVS Holdings (in Rs. Cr.)
TVS Motor,Yearly Results of TVS Motor Company (in Rs. Cr.)
TVS Srichakra,Yearly Results of TVS Srichakra (in Rs. Cr.)
Twilight Litaka,Yearly Results of Twilight Litaka Pharma (in Rs. Cr.)
Twin Roses Trad,Yearly Results of Twin Roses Trades & Agencies (in Rs. Cr.)
Twinstar Ind,Yearly Results of Twinstar Industries (in Rs. Cr.)
Tyche Ind,Yearly Results of Tyche Industries (in Rs. Cr.)
Typhoon Fin.,Yearly Results of Typhoon Financial Services (in Rs. Cr.)
Typhoon Holding,Yearly Results of Typhoon Holdings (in Rs. Cr.)
Tyroon Tea,Yearly Results of Tyroon Tea Company (in Rs. Cr.)
U. H. Zaveri,Yearly Results of U. H. Zaveri (in Rs. Cr.)
U. Y. Fincorp,Yearly Results of U. Y. Fincorp (in Rs. Cr.)
UB Engineering,Yearly Results of UB Engineering (in Rs. Cr.)
UB Holdings,Yearly Results of United Breweries Holdings (in Rs. Cr.)
Ube Industries,Yearly Results of Ube Industries. (in Rs. Cr.)
UCAL,Yearly Results of Ucal (in Rs. Cr.)
UCO Bank,Yearly Results of UCO Bank (in Rs. Cr.)
Udaipur Cement,Yearly Results of Udaipur Cement Works (in Rs. Cr.)
Uday Jewellery,Yearly Results of Uday Jewellery Industries (in Rs. Cr.)
Udayshivakumar ,Yearly Results of Udayshivakumar Infra (in Rs. Cr.)
Uflex,Yearly Results of Uflex (in Rs. Cr.)
UFM Industries ,Yearly Results of UFM Industries (in Rs. Cr.)
UFO Moviez,Yearly Results of UFO Moviez India (in Rs. Cr.)
UG Hotels,Yearly Results of UG Hotels and Resorts (in Rs. Cr.)
Ugar Sugar Work,Yearly Results of Ugar Sugar Works (in Rs. Cr.)
Ugro Capital,Yearly Results of Ugro Capital (in Rs. Cr.)
Ujaas Energy,Yearly Results of Ujaas Energy (in Rs. Cr.)
Ujjivan Financi,Yearly Results of Ujjivan Financial Services (in Rs. Cr.)
Ujjivan Small,Yearly Results of Ujjivan Small Finance Bank (in Rs. Cr.)
Ultra Wiring Co,Yearly Results of Ultra Wiring Connectivity Systems (in Rs. Cr.)
Ultracab India,Yearly Results of Ultracab India (in Rs. Cr.)
Ultramarine,Yearly Results of Ultramarine and Pigments (in Rs. Cr.)
UltraTechCement,Yearly Results of UltraTech Cement (in Rs. Cr.)
Uma Converter,Yearly Results of Uma Converter (in Rs. Cr.)
Uma Exports,Yearly Results of Uma Exports (in Rs. Cr.)
Uma Maheshwari,Yearly Results of Uma Maheshwari Mills (in Rs. Cr.)
Umang Dairies,Yearly Results of Umang Dairies (in Rs. Cr.)
Umiya Tubes,Yearly Results of Umiya Tubes (in Rs. Cr.)
UMS Radio,Yearly Results of UMS Radio Factory (in Rs. Cr.)
Uni Abex,Yearly Results of Uni Abex Alloy Products (in Rs. Cr.)
Unichem Labs,Yearly Results of Unichem Laboratories (in Rs. Cr.)
Unick Fix-A- Fo,Yearly Results of Unick Fix-A- Form and Printers (in Rs. Cr.)
Unicorn Organic,Yearly Results of Unicorn Organics (in Rs. Cr.)
Unifinz Capital,Yearly Results of Unifinz Capital India (in Rs. Cr.)
Uniflex Cables,Yearly Results of Uniflex Cables (in Rs. Cr.)
Unihealth,Yearly Results of Unihealth Consultancy (in Rs. Cr.)
Uniinfo Telecom,Yearly Results of Uniinfo Telecom Services Ltd. (in Rs. Cr.)
Unijolly Invest,Yearly Results of Unijolly Investments Company (in Rs. Cr.)
Unimers India,Yearly Results of Unimers India (in Rs. Cr.)
Unimin India,Yearly Results of Unimin India (in Rs. Cr.)
Union Bank,Yearly Results of Union Bank of India (in Rs. Cr.)
Union Quality,Yearly Results of Union Quality Plastic Industries. (in Rs. Cr.)
Uniparts India,Yearly Results of Uniparts India (in Rs. Cr.)
Uniphos Ent,Yearly Results of Uniphos Enterprises (in Rs. Cr.)
Uniplas,Yearly Results of Uniplas India (in Rs. Cr.)
Uniply Decor,Yearly Results of Uniply Decor Limited (in Rs. Cr.)
Uniply Ind,Yearly Results of Uniply Industries (in Rs. Cr.)
Uniport Comp,Yearly Results of Uniport Computers (in Rs. Cr.)
Unipro Technolo,Yearly Results of Unipro Technologies (in Rs. Cr.)
Unique Agro Pro,Yearly Results of Unique Agro Processors (India) (in Rs. Cr.)
Unique Organics,Yearly Results of Unique Organics (in Rs. Cr.)
Uniroll Leather,Yearly Results of Uniroll Leather India (in Rs. Cr.)
Uniroyal,Yearly Results of Uniroyal Industries (in Rs. Cr.)
Uniroyal Marine,Yearly Results of Uniroyal Marine Exports (in Rs. Cr.)
Unishire Urban,Yearly Results of Unishire Urban Infra (in Rs. Cr.)
Unison Metals,Yearly Results of Unison Metals (in Rs. Cr.)
Unistar Multime,Yearly Results of Unistar Multimedia (in Rs. Cr.)
Unisys Soft,Yearly Results of Unisys Software and Holding Industries (in Rs. Cr.)
Unitech,Yearly Results of Unitech (in Rs. Cr.)
Unitech Inter,Yearly Results of Unitech International (in Rs. Cr.)
United Bank,Yearly Results of United Bank of India (in Rs. Cr.)
United Brewerie,Yearly Results of United Breweries (in Rs. Cr.)
United Credit,Yearly Results of United Credit Financial Services (in Rs. Cr.)
United Drilling,Yearly Results of United Drilling Tools (in Rs. Cr.)
United Interact,Yearly Results of United Interactive (in Rs. Cr.)
United Leasing,Yearly Results of United Leasing (in Rs. Cr.)
United Nilgiri,Yearly Results of United Nilgiri Tea Estates Company (in Rs. Cr.)
United Polyfab ,Yearly Results of United Polyfab Gujarat (in Rs. Cr.)
United Spirits,Yearly Results of United Spirits (in Rs. Cr.)
United Textiles,Yearly Results of United Textiles (in Rs. Cr.)
United Van Hors,Yearly Results of United Van Der Horst (in Rs. Cr.)
Unity Infraproj,Yearly Results of Unity Infraprojects (in Rs. Cr.)
Univa Foods,Yearly Results of Univa Foods (in Rs. Cr.)
Univastu India,Yearly Results of Univastu India (in Rs. Cr.)
Universal,Yearly Results of Universal Office Automation (in Rs. Cr.)
Universal Arts,Yearly Results of  (in Rs. Cr.)
Universal Auto,Yearly Results of Universal Autofoundry (in Rs. Cr.)
Universal Cable,Yearly Results of Universal Cables (in Rs. Cr.)
Universal Prime,Yearly Results of Universal Prime Aluminium (in Rs. Cr.)
Universal Sec,Yearly Results of Universal Credit and Securities (in Rs. Cr.)
Universal Starc,Yearly Results of Universal Starch Chem Allied (in Rs. Cr.)
Uniworth Intl,Yearly Results of Uniworth International (in Rs. Cr.)
Uniworth Securi,Yearly Results of Uniworth Securities (in Rs. Cr.)
Uniworth Text,Yearly Results of Uniworth Textiles (in Rs. Cr.)
Unjha Formula,Yearly Results of Unjha Formulations (in Rs. Cr.)
Unno Industries,Yearly Results of Unno Industries (in Rs. Cr.)
UNO Minda,Yearly Results of UNO Minda (in Rs. Cr.)
UP Hotels,Yearly Results of UP Hotels (in Rs. Cr.)
Updater Service,Yearly Results of Updater Services (in Rs. Cr.)
UPIL,Yearly Results of Universus Photo Imagings Limit (in Rs. Cr.)
UPL,Yearly Results of UPL (in Rs. Cr.)
Upper Ganges,Yearly Results of Upper Ganges Sugar (in Rs. Cr.)
Upsurge Invest,Yearly Results of Upsurge Investment and Finance (in Rs. Cr.)
Upsurge Seeds,Yearly Results of Upsurge Seeds of Agriculture (in Rs. Cr.)
UR SUGAR IND,Yearly Results of UR SUGAR INDUSTRIES (in Rs. Cr.)
URAVI,Yearly Results of Uravi T and Wedge Lamps (in Rs. Cr.)
Urban Enviro,Yearly Results of Urban Enviro Waste Management (in Rs. Cr.)
Urja Global,Yearly Results of Urja Global (in Rs. Cr.)
USG Tech,Yearly Results of USG Tech Solutions (in Rs. Cr.)
Usha (India),Yearly Results of Usha (India) (in Rs. Cr.)
Usha Iron,Yearly Results of Usha Iron and Ferro Metals Corporation (in Rs. Cr.)
Usha Ispat,Yearly Results of Usha Ispat (in Rs. Cr.)
